"org","#112 (PR #1084): Clean up I/O chapter (first-and-only)","#697 (PR #1048): Remaining 4.0-RC issues found in chap-coll (first-and-only)","#729 (PR #852): Clarify use of named types with MPI_MINLOC and MPI_MAXLOC (first-and-only)","#789 (PR #1082): 41rc1:io: default and predefined error classes mixed up (first-and-only)","#804 (PR #962): Missing primary index and description of MPI_T_source_order (first-and-only)","#880 (PR #1087): Alltoallw rationale mentions an MPI_SCATTERW function (first-and-only)","#886 (PR #1046): ABI: MPI_Abi_set_fortran_booleans() is broken, boolean values may not fit in C int (first-and-only)","#888 (PR #1033): Bit counting in the ABI chapter sometimes off by one (first-and-only)","#889 (PR #1034): Use const in MPI_Status accessor functions (first-and-only)","#891 (PR #1035): Add list of examples and clean up index (first-and-only)","#892 (PR #1037): some last minute cleanups for process management chapter (first-and-only)","#893 (PR #1051): What is the 'rank of a node'? (first-and-only)","#894 (PR #1080): Wrong argument to MPI_Wait in IO example (first-and-only)","#895 (PR #1039): Comments on review of 5.0rc pages 527-552 (first-and-only)","#896 (PR #1043): PR#900 added entry in change-log 4.0 -> 4.1 out of order (first-and-only)","#897 (PR #1047): Change-log entry of PR#904 in 4.1 section instead of 5.0 (first-and-only)","#898 (PR #1040): PR#963 should have an change-log entry. (first-and-only)","#899 (PR #1023): CC Review changes for RMA (first-and-only)","#900 (PR #1041): Appendix A RCM Reading Issues (first-and-only)","#901 (PR #1044): Comments on review of 5.0-rc1 for Ch.9 Env Mgmt (first-and-only)","#902 (PR #1046): add MPI_Get_fortran_booleans and fix MPI_Set_fortran_booleans C API (first-and-only)","#904 (PR #1060): MPI 5.0RC fixes pp. 111 - 136 (pdf pages 157-182) (first-and-only)","#905 (PR #1054): RCM 5.0 - Fixes - Page 630-656 (and 507) (first-and-only)","#906 (PR #1063): MPI-5.0 RC fixes - front matter - xxvii - 6 (first-and-only)","#907 (PR #1072): MPI 5.0 RC Review - Wes Bland (first-and-only)","#908 (PR #1061): MPI 5.0 fixes p 319-344 (first-and-only)","#910 (PR #1055): MPI 5.0rc comments pp. 711 - 714 (first-and-only)","#911 (PR #1062): MPI 5.0 RC issues pp. 59-84 (first-and-only)","#915 (PR #1058): MPI 5.0 RC Review pgs 33-58 (first-and-only)","#916 (PR #1097): MPI 5.0rc review for pages 807-832 (MPI standard pages 761-786) (first-and-only)","#917 (PR #1073): MPI 5.0 fixes p 475-500 (first-and-only)","#919 (PR #1059): MPI 5.0 RC review Guillaume Mercier (first-and-only)","#920 (PR #1057): MPI-50-rc - ilaguna (first-and-only)","#921 (PR #1068): MPI 5.0rc comments pp. 715 - 722 (first-and-only)","#922 (PR #1052): fix ABI shared library name instructions (first-and-only)","#923 (PR #1056): MPI 5.0rc1 review pp.163--188 (first-and-only)","#924 (PR #1064): MPI 5.0 RC Review standard pages 553-578 (first-and-only)","#925 (PR #1065): MPI 5.0 RC Review pages 189-214 (Chap. Collectives fixes) (first-and-only)","#926 (PR #1076): MPI 5.0 RC Review pgs 813-838 (first-and-only)","#927 (PR #1089): Review comments mpi50rc1 pp. 657--682 (first-and-only)","#928 (PR #1069): MPI 5.0 RC Review pages 189-214 (Bibliography fixes) (first-and-only)","#930 (PR #1099): MPI 5.0RC fixes pp. 1093 - 1118 (pdf pages 1047-1072) (first-and-only)","#931 (PR #1083): MPI-5.0 RC fixes : Page 917-942 Function Definition Issues (first-and-only)","#932 (PR #1070): MPI 5.0rc comments pp. 723 - 733 (first-and-only)","#933 (PR #1067): RCM 5.0 - Fixes - Page 637-656 (first-and-only)","#934 (PR #1093): MPI 5.0 review standard pages 579-604 (first-and-only)","#935 (PR #1074): Fixes RCM pages 85-110 (first-and-only)","#936 (PR #1078): MPI Forum 5.0 p 475 (first-and-only)","#937 (PR #1077): MPI-5.0 RC chapter committee - terms (first-and-only)","#938 (PR #1079): MPI 5.0RC - additional fixes for topology chapter (first-and-only)","#939 (PR #1081): RC Review for pages 735-760 (first-and-only)","#940 (PR #1086): MPI 5.0RC1 Review pp 605-630 (first-and-only)","#944 (PR #1096): MPI 5.0 RC Review pgs 501-526 (first-and-only)","#945 (PR #1085): MPI-5 RC1 review Aurelien (first-and-only)","#946 (PR #1088): MPI 5.0RC1 Review pp 605-630 part 2 (first-and-only)","#947 (PR #1095): MPI 5.0RC fixes pp. 1145 - 1170 (first-and-only)","#950 (PR #1092): MPI 5.0-rc1 review Rohit (first-and-only)","#953 (PR #1098): MPI-5.0 RC chapter committee - terms Table 2.1 footnote 6 (first-and-only)","#959 (PR #1103): Add a restriction to reserve constants below 16K for MPI usage only (first-and-only)","#962 (PR #1101): Remove text on anonymous enums in ABI chapter (first-and-only)","#972 (PR #1106): kill MPI_Fint from ABI (first-and-only)","#975 (PR #1111): Tools Chapter Committee needs update (no-no)","#979 (PR #1120): ABI: Missing keys 'mpi_{integer|logical}16_supported' (no-no)","#981 (PR #1119): Formatting fixes (no-no)","#982 (PR #1116): Fix grammar issues in RC (no-no)","#983 (PR #1114): Bad index macro use fix (no-no)","#984 (PR #1115): Fix misspelled const in example (no-no)","#985 (PR #1117): Wait/test any/some/all leaves out single request case (no-no)","#988 (PR #1118): Fixes for code check (no-no)","#994 (PR #1121): Last editing fixes for 5.0 (no-no)","Vote to ratify MPI 5.0 (procedure)","MPI Forum Chair (procedure)","MPI Forum Secretary (procedure)","MPI Forum Treasurer (procedure)","MPI Forum Document Editor (procedure)"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"ParTec","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Eviden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"NVIDIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"AMD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"HPE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Stony Brook University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Karlsruhe Institute of Technology (KIT)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Tennessee Technological University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"Kichakato Kizito","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
